timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753577554067,1064,HTTP Signup,200,OK,Moderate Plan 1-1,text,true,,464,347,2,3,http://localhost:5000/api/doctors/register,1064,0,0
1753577555256,382,HTTP Signup,200,OK,Moderate Plan 1-2,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,382,0,1
1753577556457,393,HTTP Signup,200,OK,Moderate Plan 1-3,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,393,0,0
1753577557656,392,HTTP Signup,200,OK,Moderate Plan 1-4,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,392,0,1
1753577558858,389,HTTP Signup,200,OK,Moderate Plan 1-5,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,389,0,1
1753577560057,382,HTTP Signup,200,OK,Moderate Plan 1-6,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,382,0,1
1753577561258,382,HTTP Signup,200,OK,Moderate Plan 1-7,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,382,0,0
1753577562457,382,HTTP Signup,200,OK,Moderate Plan 1-8,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,382,0,1
1753577563656,383,HTTP Signup,200,OK,Moderate Plan 1-9,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,383,0,0
1753577564857,381,HTTP Signup,200,OK,Moderate Plan 1-10,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,381,0,1
1753577566055,387,HTTP Signup,200,OK,Moderate Plan 1-11,text,true,,464,347,1,1,http://localhost:5000/api/doctors/register,387,0,1
1753577567256,350,HTTP Signup,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,Moderate Plan 1-12,text,false,,2699,0,4,14,http://localhost:5000/api/doctors/register,0,0,1
