timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753577587938,7,Main.js,200,OK,App Bundle light load 1-1,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,5,0,1
1753577589140,9,Main.js,200,OK,App Bundle light load 1-2,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,5,0,0
1753577590350,6,Main.js,200,OK,App Bundle light load 1-3,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,4,0,0
1753577591546,7,Main.js,200,OK,App Bundle light load 1-4,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,5,0,0
1753577592742,7,Main.js,200,OK,App Bundle light load 1-5,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,4,0,1
1753577593946,8,Main.js,200,OK,App Bundle light load 1-6,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,5,0,1
1753577595155,7,Main.js,200,OK,App Bundle light load 1-7,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,5,0,1
1753577596345,8,Main.js,200,OK,App Bundle light load 1-8,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,5,0,1
1753577597545,7,Main.js,200,OK,App Bundle light load 1-9,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,4,0,1
1753577598751,7,Main.js,200,OK,App Bundle light load 1-10,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,5,0,1
1753577599949,9,Main.js,200,OK,App Bundle light load 1-11,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,5,0,1
1753577601152,11,Main.js,200,OK,App Bundle light load 1-12,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,4,0,1
1753577602346,14,Main.js,200,OK,App Bundle light load 1-13,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,4,0,0
1753577603538,15,Main.js,200,OK,App Bundle light load 1-14,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,6,0,1
1753577604748,14,Main.js,200,OK,App Bundle light load 1-15,text,true,,2604671,136,1,1,http://localhost:3000/static/js/bundle.js,4,0,1
